"","V1","page","province","region","position","district","votes","proclamation_date","name","party","has_nickname"
"1","CARREON, CECILIA JALOSJOS             CELY                                 PDSP                     68,998   May 14,2004","1/6","ZAMBOANGA DEL NORTE","09","congressman","1ST DISTRICT"," 68,998","May 14,2004","CARREON, CECILIA JALOSJOS","PDSP",TRUE
"2","REDILLAS, JOSE BELEN QUIZO            JOJO                                 KNP                      7,137","1/6","ZAMBOANGA DEL NORTE","09","congressman","1ST DISTRICT"," 7,137",NA,"REDILLAS, JOSE BELEN QUIZO","KNP",TRUE
"3","BARINAGA, ROSELLER LARA               MATOY                                NPC                      73,424   May 15,2004","1/6","ZAMBOANGA DEL NORTE","09","congressman","2ND DISTRICT"," 73,424","May 15,2004","BARINAGA, ROSELLER LARA","NPC",TRUE
"4","RANILLO, MATIAS ARCHIBALD III SEVILLA MAT RANILLO III                      LDP/KNP                  41,050","1/6","ZAMBOANGA DEL NORTE","09","congressman","2ND DISTRICT"," 41,050",NA,"RANILLO, MATIAS ARCHIBALD III SEVILLA MAT RANILLO III","",TRUE
"5","JALOSJOS, CESAR GARCIA                SAR                                  PMP                      72,060   May 14,2004","1/6","ZAMBOANGA DEL NORTE","09","congressman","3RD DISTRICT"," 72,060","May 14,2004","JALOSJOS, CESAR GARCIA","PMP",TRUE
"6","CARLOTO, ANGEL MELICOR                ANGEL, ANGE                          LAKAS-CMD                53,797","1/6","ZAMBOANGA DEL NORTE","09","congressman","3RD DISTRICT"," 53,797",NA,"CARLOTO, ANGEL MELICOR","LAKAS-CMD",TRUE
"7","BALANDA, HAMID BACULOD                -                                    ISANG BANSA ISANG DIWA    392","1/6","ZAMBOANGA DEL NORTE","09","congressman","3RD DISTRICT"," 392",NA,"BALANDA, HAMID BACULOD","-                                    ISANG BANSA ISANG DIWA",FALSE
"8","YEBES, ROLANDO ENRIQUEZ               LANDO                                PDSP                    173,091   May 15,2004","1/6","ZAMBOANGA DEL NORTE","09","governor",""," 173,091","May 15,2004","YEBES, ROLANDO ENRIQUEZ","PDSP",TRUE
"9","AMATONG, ISAGANI SYBICO               GANI                                 LAKAS-CMD               163,965","1/6","ZAMBOANGA DEL NORTE","09","governor",""," 163,965",NA,"AMATONG, ISAGANI SYBICO","LAKAS-CMD",TRUE
"10","OLVIS, FRANCIS HAMOY                  BEBIE                                PDSP                    148,147   May 15,2004","1/6","ZAMBOANGA DEL NORTE","09","vice governor",""," 148,147","May 15,2004","OLVIS, FRANCIS HAMOY","PDSP",TRUE
"11","PACATANG, EDUARDITO SARMIENTO         GUY                                  LAKAS-CMD               133,217","1/6","ZAMBOANGA DEL NORTE","09","vice governor",""," 133,217",NA,"PACATANG, EDUARDITO SARMIENTO","LAKAS-CMD",TRUE
"12","NADELA, NARCISO SANICO                CISOY                                INDEPENDENT              3,401","1/6","ZAMBOANGA DEL NORTE","09","vice governor",""," 3,401",NA,"NADELA, NARCISO SANICO","INDEPENDENT",TRUE
